Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Tm5
1,A1,FALSE,6122,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.213603955,,,14.96012144,0.850121863,14.96012144,,TRUE,0.072208429,TRUE,3,11,92.14573669,,,,
2,A2,FALSE,8132,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.23288537,,,14.4423481,0.897557301,14.4423481,,TRUE,0.072208429,TRUE,3,10,92.14573669,,,,
3,A3,FALSE,8141,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.229948858,,,14.81177785,0.887599919,14.81177785,,TRUE,0.072208429,TRUE,3,10,92.25813293,,,,
4,A4,FALSE,9152,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.21706868,,,15.36874939,0.878665593,15.36874939,,TRUE,0.072208429,TRUE,3,11,92.25813293,,,,
5,A5,FALSE,9160,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223269343,,,14.24659791,0.911410767,14.24659791,,TRUE,0.072208429,TRUE,3,11,92.30203247,,,,
6,A6,FALSE,9268,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.218117875,,,15.304027,0.891124267,15.304027,,TRUE,0.072208429,TRUE,3,11,92.30203247,,,,
7,A7,FALSE,9376,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.212526782,,,15.63266961,0.88078915,15.63266961,,TRUE,0.072208429,TRUE,3,12,92.30203247,,,,
8,A8,FALSE,9384,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.193172923,,,15.62510354,0.808520729,15.62510354,,TRUE,0.072208429,TRUE,3,12,92.30203247,,,,
9,A9,FALSE,9392,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.086855468,,,13.38351188,0.496420859,13.38351188,,TRUE,0.072208429,TRUE,3,9,92.31018829,,,,
10,A10,FALSE,9400,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.145284257,,,15.98069173,0.612984106,15.98069173,,TRUE,0.072208429,TRUE,3,12,92.42276764,,,,
11,A11,FALSE,9408,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.141460602,,,16.51535016,0.626329664,16.51535016,,TRUE,0.072208429,TRUE,3,12,92.31018829,,,,
12,A12,FALSE,10124,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.208513525,,,14.81862642,0.842926861,14.81862642,,TRUE,0.072208429,TRUE,3,11,92.31018829,,,,
13,A13,FALSE,9416,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.146936171,,,16.2442401,0.626555535,16.2442401,,TRUE,0.072208429,TRUE,3,12,92.32767487,,,,
14,A14,FALSE,Water,Alb88_Dlp74,UNKNOWN,SYBR,None,NO_AMP,0,,,UNDETERMINED,0,,,TRUE,0.072208429,TRUE,3,39,71.9402771,81.73974609,,,
49,C1,FALSE,6224,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.208183572,,,12.8829884,0.831686801,12.8829884,,TRUE,0.072208429,TRUE,3,8,92.3705368,,,,
50,C2,FALSE,8133,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.227586945,,,14.50108236,0.924327718,14.50108236,,TRUE,0.072208429,TRUE,3,10,92.25813293,,,,
51,C3,FALSE,8243,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.228826484,,,14.70425865,0.912014814,14.70425865,,TRUE,0.072208429,TRUE,3,11,92.3705368,,,,
52,C4,FALSE,9153,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.191126101,,,13.95131284,0.816899098,13.95131284,,TRUE,0.072208429,TRUE,3,10,92.3705368,,,,
53,C5,FALSE,9161,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.226094489,,,14.50927391,0.906213356,14.50927391,,TRUE,0.072208429,TRUE,3,10,92.4145813,,,,
54,C6,FALSE,9269,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.216404057,,,13.53453384,0.894134591,13.53453384,,TRUE,0.072208429,TRUE,3,9,92.4145813,,,,
55,C7,FALSE,9377,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.19297197,,,13.16070461,0.812148213,13.16070461,,TRUE,0.072208429,TRUE,3,9,92.4145813,,,,
56,C8,FALSE,9385,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223577907,,,16.30282719,0.928414047,16.30282719,,TRUE,0.072208429,TRUE,3,13,92.4145813,,,,
57,C9,FALSE,9393,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.214402743,,,14.07663628,0.870420618,14.07663628,,TRUE,0.072208429,TRUE,3,10,92.42276764,,,,
58,C10,FALSE,9401,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.220698182,,,12.42887278,0,12.42887278,,TRUE,0.072208429,TRUE,3,12,92.31018829,,,,
59,C11,FALSE,9409,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.224914156,,,15.79547687,0.875032403,15.79547687,,TRUE,0.072208429,TRUE,3,11,92.42276764,,,,
60,C12,FALSE,10125,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223507079,,,13.81797591,0.940973127,13.81797591,,TRUE,0.072208429,TRUE,3,10,92.31018829,,,,
61,C13,FALSE,9417,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.20361549,,,15.37137985,0.895498295,15.37137985,,TRUE,0.072208429,TRUE,3,11,92.44030762,,,,
97,E1,FALSE,6225,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.209731163,,,13.9559684,0.821058981,13.9559684,,TRUE,0.072208429,TRUE,3,9,92.48293304,,,,
98,E2,FALSE,8134,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.221096094,,,13.31601252,0.88722175,13.31601252,,TRUE,0.072208429,TRUE,3,9,92.3705368,,,,
99,E3,FALSE,8244,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.217140735,,,13.02128795,0.918441508,13.02128795,,TRUE,0.072208429,TRUE,3,9,92.48293304,,,,
100,E4,FALSE,9154,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223299592,,,15.41623661,0.905469465,15.41623661,,TRUE,0.072208429,TRUE,3,11,92.48293304,,,,
101,E5,FALSE,9262,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.176484019,,,11.6102385,0.874832565,11.6102385,,TRUE,0.072208429,TRUE,3,8,92.52713013,,,,
102,E6,FALSE,9270,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.226482347,,,14.82853945,0.939337665,14.82853945,,TRUE,0.072208429,TRUE,3,11,92.52713013,,,,
103,E7,FALSE,9378,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223420083,,,13.71075597,0.899581179,13.71075597,,TRUE,0.072208429,TRUE,3,9,92.52713013,,,,
104,E8,FALSE,9386,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.21755631,,,13.99094488,0.921935586,13.99094488,,TRUE,0.072208429,TRUE,3,10,92.52713013,,,,
105,E9,FALSE,9394,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.217772655,,,14.12708285,0.894338846,14.12708285,,TRUE,0.072208429,TRUE,3,10,92.53533936,,,,
106,E10,FALSE,9402,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.227009927,,,13.76571811,0.931723778,13.76571811,,TRUE,0.072208429,TRUE,3,10,92.53533936,,,,
107,E11,FALSE,9410,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.217981385,,,16.02968824,0.887922153,16.02968824,,TRUE,0.072208429,TRUE,3,12,92.53533936,,,,
108,E12,FALSE,10126,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.219660986,,,14.70413502,0.928431531,14.70413502,,TRUE,0.072208429,TRUE,3,11,92.42276764,,,,
109,E13,FALSE,9418,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.21967567,,,15.36444283,0.911317731,15.36444283,,TRUE,0.072208429,TRUE,3,11,92.552948,,,,
145,G1,FALSE,7126,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.180003862,,,15.71449395,0.730944418,15.71449395,,TRUE,0.072208429,TRUE,3,12,92.48293304,,,,
146,G2,FALSE,8135,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.230988054,,,13.83235841,0.910063793,13.83235841,,TRUE,0.072208429,TRUE,3,9,92.48293304,,,,
147,G3,FALSE,8247,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.217560231,,,13.85458554,0.94261398,13.85458554,,TRUE,0.072208429,TRUE,3,10,92.59533691,,,,
148,G4,FALSE,9155,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.215231367,,,14.77590786,0.896118824,14.77590786,,TRUE,0.072208429,TRUE,3,11,92.59533691,,,,
149,G5,FALSE,9263,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223067606,,,13.71366591,0.971414657,13.71366591,,TRUE,0.072208429,TRUE,3,10,92.63967896,,,,
150,G6,FALSE,9271,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.185197276,,,15.58239238,0.822049793,15.58239238,,TRUE,0.072208429,TRUE,3,11,92.63967896,,,,
151,G7,FALSE,9379,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.235482326,,,15.95121797,0.985219257,15.95121797,,TRUE,0.072208429,TRUE,3,12,92.52713013,,,,
152,G8,FALSE,9387,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.221363096,,,14.5180648,0.910672318,14.5180648,,TRUE,0.072208429,TRUE,3,11,92.63967896,,,,
153,G9,FALSE,9395,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.191311339,,,12.29853276,0.888935865,12.29853276,,TRUE,0.072208429,TRUE,3,8,92.6479187,,,,
154,G10,FALSE,9403,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223131908,,,14.83861504,0.896635195,14.83861504,,TRUE,0.072208429,TRUE,3,11,92.6479187,,,,
155,G11,FALSE,9411,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.164009314,,,12.18955714,0.784928567,12.18955714,,TRUE,0.072208429,TRUE,3,8,92.6479187,,,,
156,G12,FALSE,10127,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.221780348,,,14.10305793,0.900842356,14.10305793,,TRUE,0.072208429,TRUE,3,10,92.42276764,,,,
157,G13,FALSE,9419,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.213270068,,,14.47406812,0.875601715,14.47406812,,TRUE,0.072208429,TRUE,3,10,92.66558838,,,,
193,I1,FALSE,7127,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.233537604,,,14.80813173,0.892628807,14.80813173,,TRUE,0.072208429,TRUE,3,11,92.59533691,,,,
194,I2,FALSE,8136,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.198337908,,,14.51372403,0.96410043,14.51372403,,TRUE,0.072208429,TRUE,3,10,92.48293304,,,,
195,I3,FALSE,8248,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,0.189028045,,,12.41956417,0.589192302,12.41956417,,TRUE,0.072208429,TRUE,3,8,92.70773315,,,,
196,I4,FALSE,9156,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.213835416,,,15.30961127,0.89687761,15.30961127,,TRUE,0.072208429,TRUE,3,12,92.70773315,81.13069916,,,
197,I5,FALSE,9264,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.226812661,,,15.49269298,0.949391125,15.49269298,,TRUE,0.072208429,TRUE,3,11,92.63967896,,,,
198,I6,FALSE,9272,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.217307446,,,13.13642104,0.91637606,13.13642104,,TRUE,0.072208429,TRUE,3,9,92.63967896,,,,
199,I7,FALSE,9380,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.1975062,,,13.092629,0.844551167,13.092629,,TRUE,0.072208429,TRUE,3,9,92.63967896,,,,
200,I8,FALSE,9388,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.195900625,,,11.04941464,0.832779248,11.04941464,,TRUE,0.072208429,TRUE,3,7,92.75222778,,,,
201,I9,FALSE,9396,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.205117443,,,15.26579744,0.878261391,15.26579744,,TRUE,0.072208429,TRUE,3,11,92.6479187,,,,
202,I10,FALSE,9404,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.220048069,,,14.99682314,0.920443068,14.99682314,,TRUE,0.072208429,TRUE,3,10,92.6479187,,,,
203,I11,FALSE,9412,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.127326487,,,16.38685403,0.606880862,16.38685403,,TRUE,0.072208429,TRUE,3,12,92.6479187,,,,
204,I12,FALSE,10128,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.219711789,,,14.62806183,0.886190328,14.62806183,,TRUE,0.072208429,TRUE,3,10,92.6479187,,,,
205,I13,FALSE,10120,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.181033142,,,13.83615773,0.833059991,13.83615773,,TRUE,0.072208429,TRUE,3,9,92.77822876,,,,
241,K1,FALSE,7128,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.228146073,,,14.19374969,0.900808662,14.19374969,,TRUE,0.072208429,TRUE,3,10,92.59533691,,,,
242,K2,FALSE,8137,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.238427973,,,14.34807549,0.923332937,14.34807549,,TRUE,0.072208429,TRUE,3,10,92.59533691,,,,
243,K3,FALSE,8249,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.172494631,,,16.72029632,0.894251503,16.72029632,,TRUE,0.072208429,TRUE,3,12,92.59533691,,,,
244,K4,FALSE,9157,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.227922517,,,14.69360691,0.89683687,14.69360691,,TRUE,0.072208429,TRUE,3,10,92.70773315,,,,
245,K5,FALSE,9265,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.224223337,,,14.70620489,0.711697501,14.70620489,,TRUE,0.072208429,TRUE,3,11,92.63967896,,,,
246,K6,FALSE,9273,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.176439342,,,15.60366057,0.893886709,15.60366057,,TRUE,0.072208429,TRUE,3,11,92.63967896,,,,
247,K7,FALSE,9381,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,0.70314722,,,13.64581904,0.608472473,13.64581904,,TRUE,0.072208429,TRUE,3,9,92.63967896,,,,
248,K8,FALSE,9389,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.207182642,,,11.98930023,0.911955367,11.98930023,,TRUE,0.072208429,TRUE,3,7,92.75222778,,,,
249,K9,FALSE,9397,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.216022647,,,15.2608078,0.949429249,15.2608078,,TRUE,0.072208429,TRUE,3,11,92.76049805,,,,
250,K10,FALSE,9405,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.199277028,,,15.10294613,0.859706075,15.10294613,,TRUE,0.072208429,TRUE,3,10,92.76049805,,,,
251,K11,FALSE,9413,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.206066217,,,15.63524315,0.944973827,15.63524315,,TRUE,0.072208429,TRUE,3,12,92.76049805,,,,
252,K12,FALSE,10129,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.206315634,,,15.33517673,0.849965934,15.33517673,,TRUE,0.072208429,TRUE,3,11,92.6479187,,,,
253,K13,FALSE,10121,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.210595684,,,16.28502964,0.883059744,16.28502964,,TRUE,0.072208429,TRUE,3,12,92.66558838,,,,
289,M1,FALSE,7230,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.221713477,,,15.35496865,0.885739011,15.35496865,,TRUE,0.072208429,TRUE,3,11,92.59533691,,,,
290,M2,FALSE,8138,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.230594966,,,14.27912122,0.926742184,14.27912122,,TRUE,0.072208429,TRUE,3,11,92.59533691,,,,
291,M3,FALSE,9150,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.232979855,,,14.61945327,0.961183677,14.61945327,,TRUE,0.072208429,TRUE,3,11,92.70773315,,,,
292,M4,FALSE,9158,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.226803439,,,16.36557399,0.918826916,16.36557399,,TRUE,0.072208429,TRUE,3,12,92.70773315,,,,
293,M5,FALSE,9266,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.210585108,,,14.90336987,0.949077105,14.90336987,,TRUE,0.072208429,TRUE,3,11,92.63967896,,,,
294,M6,FALSE,9374,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,0.848008428,,,13.74294724,0.482761956,13.74294724,,TRUE,0.072208429,TRUE,3,9,92.63967896,,,,
295,M7,FALSE,9382,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.203631757,,,13.27783176,0.951144986,13.27783176,,TRUE,0.072208429,TRUE,3,10,92.63967896,,,,
296,M8,FALSE,9390,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.190739637,,,14.05000149,0.911427868,14.05000149,,TRUE,0.072208429,TRUE,3,10,92.63967896,,,,
297,M9,FALSE,9498,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.222042182,,,14.41364856,0.936246694,14.41364856,,TRUE,0.072208429,TRUE,3,11,92.76049805,,,,
298,M10,FALSE,9406,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.226480089,,,15.7309992,0.930573376,15.7309992,,TRUE,0.072208429,TRUE,3,12,92.76049805,,,,
299,M11,FALSE,9414,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.22714327,,,14.97514714,0.953563884,14.97514714,,TRUE,0.072208429,TRUE,3,11,92.76049805,,,,
300,M12,FALSE,10130,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.207698007,,,13.45376831,0.891850973,13.45376831,,TRUE,0.072208429,TRUE,3,9,92.53533936,,,,
301,M13,FALSE,10122,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.219716423,,,15.76446359,0.909470425,15.76446359,,TRUE,0.072208429,TRUE,3,12,92.66558838,,,,
337,O1,FALSE,7231,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.226911282,,,13.5057868,0.889114332,13.5057868,,TRUE,0.072208429,TRUE,3,10,92.59533691,,,,
338,O2,FALSE,8140,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.186890802,,,12.61693618,0.760833681,12.61693618,,TRUE,0.072208429,TRUE,3,9,92.59533691,,,,
339,O3,FALSE,9151,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.235222372,,,13.80836752,0.922297469,13.80836752,,TRUE,0.072208429,TRUE,3,10,92.59533691,,,,
340,O4,FALSE,9159,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.188661253,,,16.14553253,0.792676631,16.14553253,,TRUE,0.072208429,TRUE,3,11,92.59533691,,,,
341,O5,FALSE,9267,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.188499792,,,11.75449162,0.829349298,11.75449162,,TRUE,0.072208429,TRUE,3,7,92.63967896,,,,
342,O6,FALSE,9375,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.224058417,,,15.36829434,0.912221074,15.36829434,,TRUE,0.072208429,TRUE,3,11,92.63967896,,,,
343,O7,FALSE,9383,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.225264522,,,15.45418453,0.898912476,15.45418453,,TRUE,0.072208429,TRUE,3,11,92.63967896,,,,
344,O8,FALSE,9391,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.224122796,,,14.03798005,0.90913181,14.03798005,,TRUE,0.072208429,TRUE,3,10,92.63967896,,,,
345,O9,FALSE,9499,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.220805775,,,14.42193103,0.915678823,14.42193103,,TRUE,0.072208429,TRUE,3,10,92.6479187,,,,
346,O10,FALSE,9407,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.2099201,,,15.73825516,0.893743593,15.73825516,,TRUE,0.072208429,TRUE,3,11,92.6479187,,,,
347,O11,FALSE,9415,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.222817375,,,15.06707024,0.936433687,15.06707024,,TRUE,0.072208429,TRUE,3,11,92.6479187,,,,
348,O12,FALSE,10131,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.210934734,,,13.97418051,0.892257434,13.97418051,,TRUE,0.072208429,TRUE,3,10,92.42276764,,,,
349,O13,FALSE,10123,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.221695899,,,14.16428012,0.919712663,14.16428012,,TRUE,0.072208429,TRUE,3,10,92.66558838,,,,
